"Background Characteristics","Method","Year","percentage"
"15-19","Any Method","1988","5.5"
"20-24","Any Method","1988","24.3"
"25-29","Any Method","1988","37.1"
"30-34","Any Method","1988","46.8"
"35-39","Any Method","1988","52.8"
"40-44","Any Method","1988","47.5"
"45-49","Any Method","1988","23.4"
"15-19","Any Method","1992","13.3"
"20-24","Any Method","1992","29.7"
"25-29","Any Method","1992","46.0"
"30-34","Any Method","1992","58.8"
"35-39","Any Method","1992","59.6"
"40-44","Any Method","1992","55.5"
"45-49","Any Method","1992","34.5"
"15-19","Any Method","1995","16.1"
"20-24","Any Method","1995","33.2"
"25-29","Any Method","1995","47.6"
"30-34","Any Method","1995","58.1"
"35-39","Any Method","1995","60.7"
"40-44","Any Method","1995","58.8"
"45-49","Any Method","1995","33.3"
"15-19","Any Method","1997","21.4"
"20-24","Any Method","1997","40.3"
"25-29","Any Method","1997","53.3"
"30-34","Any Method","1997","63.9"
"35-39","Any Method","1997","68.7"
"40-44","Any Method","1997","61.0"
"45-49","Any Method","1997","39.4"
"15-19","Pill","1988","3.5"
"20-24","Pill","1988","10.8"
"25-29","Pill","1988","14.9"
"30-34","Pill","1988","19.2"
"35-39","Pill","1988","23.2"
"40-44","Pill","1988","15.5"
"45-49","Pill","1988","8.6"
"15-19","Pill","1992","4.1"
"20-24","Pill","1992","6.8"
"25-29","Pill","1992","13.3"
"30-34","Pill","1992","16.2"
"35-39","Pill","1992","18.2"
"40-44","Pill","1992","14.0"
"45-49","Pill","1992","7.9"
"15-19","Pill","1995","3.2"
"20-24","Pill","1995","6.6"
"25-29","Pill","1995","9.8"
"30-34","Pill","1995","13.3"
"35-39","Pill","1995","13.8"
"40-44","Pill","1995","12.5"
"45-49","Pill","1995","7.6"
"15-19","Pill","1997","3.1"
"20-24","Pill","1997","5.0"
"25-29","Pill","1997","9.8"
"30-34","Pill","1997","12.8"
"35-39","Pill","1997","13.5"
"40-44","Pill","1997","12.2"
"45-49","Pill","1997","7.8"
"15-19","IUD","1988","1.7"
"20-24","IUD","1988","10.7"
"25-29","IUD","1988","17.7"
"30-34","IUD","1988","20.2"
"35-39","IUD","1988","21.2"
"40-44","IUD","1988","18.5"
"45-49","IUD","1988","6.6"
"15-19","IUD","1992","8.4"
"20-24","IUD","1992","21.2"
"25-29","IUD","1992","29.3"
"30-34","IUD","1992","36.7"
"35-39","IUD","1992","34.0"
"40-44","IUD","1992","28.9"
"45-49","IUD","1992","14.9"
"15-19","IUD","1995","11.3"
"20-24","IUD","1995","21.7"
"25-29","IUD","1995","33.1"
"30-34","IUD","1995","37.3"
"35-39","IUD","1995","37.2"
"40-44","IUD","1995","34.4"
"45-49","IUD","1995","16.2"
"15-19","IUD","1997","12.9"
"20-24","IUD","1997","30.7"
"25-29","IUD","1997","35.1"
"30-34","IUD","1997","42.4"
"35-39","IUD","1997","43.2"
"40-44","IUD","1997","33.8"
"45-49","IUD","1997","21.0"
"15-19","Injectables","1988","0.0"
"20-24","Injectables","1988","0.0"
"25-29","Injectables","1988","0.0"
"30-34","Injectables","1988","0.2"
"35-39","Injectables","1988","0.1"
"40-44","Injectables","1988","0.3"
"45-49","Injectables","1988","0.0"
"15-19","Injectables","1992","0.0"
"20-24","Injectables","1992","0.2"
"25-29","Injectables","1992","0.2"
"30-34","Injectables","1992","0.5"
"35-39","Injectables","1992","0.8"
"40-44","Injectables","1992","1.1"
"45-49","Injectables","1992","0.5"
"15-19","Injectables","1995","I.I"
"20-24","Injectables","1995","2.1"
"25-29","Injectables","1995","2.2"
"30-34","Injectables","1995","3.2"
"35-39","Injectables","1995","3.2"
"40-44","Injectables","1995","2.5"
"45-49","Injectables","1995","1.2"
"15-19","Injectables","1997","1.5"
"20-24","Injectables","1997","1.7"
"25-29","Injectables","1997","4.2"
"30-34","Injectables","1997","3.8"
"35-39","Injectables","1997","4.6"
"40-44","Injectables","1997","6.4"
"45-49","Injectables","1997","2.3"
