"Background Characteristics","Method","Year","percentage"
"0","Any Method","1988","0.7"
"1","Any Method","1988","23.1"
"2","Any Method","1988","43.4"
"3","Any Method","1988","47.8"
"4+","Any Method","1988","44.4"
"0","Any Method","1992","0.5"
"1","Any Method","1992","31.6"
"2","Any Method","1992","52.5"
"3","Any Method","1992","59.3"
"4+","Any Method","1992","54.3"
"0","Any Method","1995","1.2"
"1","Any Method","1995","31.6"
"2","Any Method","1995","53.9"
"3","Any Method","1995","65.4"
"4+","Any Method","1995","53.9"
"0","Any Method","1997","0.7"
"1","Any Method","1997","38.8"
"2","Any Method","1997","61.9"
"3","Any Method","1997","67.6"
"4+","Any Method","1997","60.2"
"0","Pill","1988","0.1"
"1","Pill","1988","7.6"
"2","Pill","1988","14.7"
"3","Pill","1988","19.9"
"4+","Pill","1988","17.1"
"0","Pill","1992","0.3"
"1","Pill","1992","6.7"
"2","Pill","1992","12.7"
"3","Pill","1992","17.1"
"4+","Pill","1992","15.8"
"0","Pill","1995","0.5"
"1","Pill","1995","4.7"
"2","Pill","1995","8.9"
"3","Pill","1995","13.7"
"4+","Pill","1995","13.9"
"0","Pill","1997","0.3"
"1","Pill","1997","5.5"
"2","Pill","1997","9.6"
"3","Pill","1997","12.3"
"4+","Pill","1997","13.0"
"0","IUD","1988","0.4"
"1","IUD","1988","11.4"
"2","IUD","1988","20.5"
"3","IUD","1988","19.6"
"4+","IUD","1988","17.1"
"0","IUD","1992","0.2"
"1","IUD","1992","22.4"
"2","IUD","1992","34.3"
"3","IUD","1992","34.8"
"4+","IUD","1992","30.0"
"0","IUD","1995","0.5"
"1","IUD","1995","23.3"
"2","IUD","1995","38.9"
"3","IUD","1995","40.3"
"4+","IUD","1995","30.6"
"0","IUD","1997","0.0"
"1","IUD","1997","29.1"
"2","IUD","1997","44.7"
"3","IUD","1997","44.6"
"4+","IUD","1997","33.3"
"0","Injectables","1988","0.0"
"1","Injectables","1988","0.0"
"2","Injectables","1988","0.0"
"3","Injectables","1988","0.0"
"4+","Injectables","1988","0.2"
"0","Injectables","1992","0.0"
"1","Injectables","1992","0.0"
"2","Injectables","1992","0.0"
"3","Injectables","1992","0.5"
"4+","Injectables","1992","1.0"
"0","Injectables","1995","0.0"
"1","Injectables","1995","0.9"
"2","Injectables","1995","1.6"
"3","Injectables","1995","3.8"
"4+","Injectables","1995","3.2"
"0","Injectables","1997","0.0"
"1","Injectables","1997","0.8"
"2","Injectables","1997","2.0"
"3","Injectables","1997","3.4"
"4+","Injectables","1997","6.7"
