"Background Characteristics","Method","Year","percentage"
"Urban Governates","Any Method","1988","56.0"
"Lower Egypt","Any Method","1988","41.2"
"Lower Urban","Any Method","1988","54.5"
"Lower Rural","Any Method","1988","35.6"
"Upper Egypt","Any Method","1988","22.1"
"Upper Urban","Any Method","1988","41.5"
"Upper Rural","Any Method","1988","11.5"
"Urban Governates","Any Method","1992","59.1"
"Lower Egypt","Any Method","1992","53.5"
"Lower Urban","Any Method","1992","60.3"
"Lower Rural","Any Method","1992","50.5"
"Upper Egypt","Any Method","1992","31.4"
"Upper Urban","Any Method","1992","48.1"
"Upper Rural","Any Method","1992","24.3"
"Urban Governates","Any Method","1995","58.1"
"Lower Egypt","Any Method","1995","55.4"
"Lower Urban","Any Method","1995","59.1"
"Lower Rural","Any Method","1995","53.8"
"Upper Egypt","Any Method","1995","32.1"
"Upper Urban","Any Method","1995","49.9"
"Upper Rural","Any Method","1995","24.0"
"Urban Governates","Any Method","1997","67.0"
"Lower Egypt","Any Method","1997","61.6"
"Lower Urban","Any Method","1997","65.9"
"Lower Rural","Any Method","1997","59.9"
"Upper Egypt","Any Method","1997","37.4"
"Upper Urban","Any Method","1997","52.1"
"Upper Rural","Any Method","1997","30.3"
"Urban Governates","Pill","1988","16.9"
"Lower Egypt","Pill","1988","19.2"
"Lower Urban","Pill","1988","24.2"
"Lower Rural","Pill","1988","17.2"
"Upper Egypt","Pill","1988","10.0"
"Upper Urban","Pill","1988","16.0"
"Upper Rural","Pill","1988","6.7"
"Urban Governates","Pill","1992","12.5"
"Lower Egypt","Pill","1992","15.1"
"Lower Urban","Pill","1992","17.3"
"Lower Rural","Pill","1992","14.1"
"Upper Egypt","Pill","1992","10.7"
"Upper Urban","Pill","1992","13.8"
"Upper Rural","Pill","1992","9.3"
"Urban Governates","Pill","1995","8.4"
"Lower Egypt","Pill","1995","12.6"
"Lower Urban","Pill","1995","14.3"
"Lower Rural","Pill","1995","11.9"
"Upper Egypt","Pill","1995","9.1"
"Upper Urban","Pill","1995","12.6"
"Upper Rural","Pill","1995","7.5"
"Urban Governates","Pill","1997","10.7"
"Lower Egypt","Pill","1997","12.2"
"Lower Urban","Pill","1997","12.8"
"Lower Rural","Pill","1997","11.9"
"Upper Egypt","Pill","1997","7.5"
"Upper Urban","Pill","1997","8.9"
"Upper Rural","Pill","1997","6.9"
"Urban Governates","IUD","1988","26.8"
"Lower Egypt","IUD","1988","16.2"
"Lower Urban","IUD","1988","21.2"
"Lower Rural","IUD","1988","14.1"
"Upper Egypt","IUD","1988","7.9"
"Upper Urban","IUD","1988","17.6"
"Upper Rural","IUD","1988","2.7"
"Urban Governates","IUD","1992","36.8"
"Lower Egypt","IUD","1992","32.6"
"Lower Urban","IUD","1992","36.3"
"Lower Rural","IUD","1992","31.0"
"Upper Egypt","IUD","1992","16.4"
"Upper Urban","IUD","1992","27.6"
"Upper Rural","IUD","1992","11.6"
"Urban Governates","IUD","1995","40.2"
"Lower Egypt","IUD","1995","34.7"
"Lower Urban","IUD","1995","34.4"
"Lower Rural","IUD","1995","34.8"
"Upper Egypt","IUD","1995","17.7"
"Upper Urban","IUD","1995","30.3"
"Upper Rural","IUD","1995","11.9"
"Urban Governates","IUD","1997","44.1"
"Lower Egypt","IUD","1997","40.0"
"Lower Urban","IUD","1997","42.4"
"Lower Rural","IUD","1997","39.1"
"Upper Egypt","IUD","1997","21.4"
"Upper Urban","IUD","1997","35.8"
"Upper Rural","IUD","1997","14.5"
"Urban Governates","Injectables","1988","0.1"
"Lower Egypt","Injectables","1988","0.1"
"Lower Urban","Injectables","1988","0.0"
"Lower Rural","Injectables","1988","0.1"
"Upper Egypt","Injectables","1988","0.1"
"Upper Urban","Injectables","1988","0.2"
"Upper Rural","Injectables","1988","0.0"
"Urban Governates","Injectables","1992","0.3"
"Lower Egypt","Injectables","1992","0.5"
"Lower Urban","Injectables","1992","0.7"
"Lower Rural","Injectables","1992","0.5"
"Upper Egypt","Injectables","1992","0.6"
"Upper Urban","Injectables","1992","0.6"
"Upper Rural","Injectables","1992","0.6"
"Urban Governates","Injectables","1995","2.2"
"Lower Egypt","Injectables","1995","2.8"
"Lower Urban","Injectables","1995","3.0"
"Lower Rural","Injectables","1995","2.7"
"Upper Egypt","Injectables","1995","2.0"
"Upper Urban","Injectables","1995","1.8"
"Upper Rural","Injectables","1995","2.1"
"Urban Governates","Injectables","1997","3.3"
"Lower Egypt","Injectables","1997","4.3"
"Lower Urban","Injectables","1997","3.4"
"Lower Rural","Injectables","1997","4.7"
"Upper Egypt","Injectables","1997","3.7"
"Upper Urban","Injectables","1997","1.8"
"Upper Rural","Injectables","1997","4.5"
