"Background Characteristics","Method","Year","percentage"
"Urban","Any Method","1988","51.8"
"Rural","Any Method","1988","24.5"
"Urban","Any Method","1992","57.0"
"Rural","Any Method","1992","38.4"
"Urban","Any Method","1995","56.4"
"Rural","Any Method","1995","40.5"
"Urban","Any Method","1997","63.1"
"Rural","Any Method","1997","47.1"
"Urban","Pill","1988","18.4"
"Rural","Pill","1988","12.4"
"Urban","Pill","1992","14.0"
"Rural","Pill","1992","11.9"
"Urban","Pill","1995","11.0"
"Rural","Pill","1995","9.9"
"Urban","Pill","1997","10.8"
"Rural","Pill","1997","9.7"
"Urban","IUD","1988","23.0"
"Rural","IUD","1988","8.8"
"Urban","IUD","1992","34.6"
"Rural","IUD","1992","22.0"
"Urban","IUD","1995","36.2"
"Rural","IUD","1995","24.6"
"Urban","IUD","1997","41.7"
"Rural","IUD","1997","28.4"
"Urban","Injectables","1988","0.1"
"Rural","Injectables","1988","0.1"
"Urban","Injectables","1992","0.5"
"Rural","Injectables","1992","0.5"
"Urban","Injectables","1995","2.4"
"Rural","Injectables","1995","2.5"
"Urban","Injectables","1997","3.0"
"Rural","Injectables","1997","4.6"
